41) Els connectors; addons o complements utilitzats pels navegadors són sempre segurs?, a) Només quan els descàrrec de llocs no oficials., b) Sí. Precisament m'ajuden a millorar la seguretat., c) No. Fins i tot un de fiable pot presentar vulnerabilitats., c) No. Fins i tot un de fiable pot presentar vulnerabilitats., Resposta: Com les aplicacions; aquests complements poden ser maliciosos o presentar vulnerabilitats. El millor és descarregar-los de llocs oficials i revisar els comentaris i les valoracions d'altres usuaris.\n
42) Com pots millorar la teva seguretat i privadesa quan navegues per Internet?, a) Mantenint el meu dispositiu actualitzat i utilitzant una connexió segura., b) Instal·lar una eina antivirus., c) Ambdues respostes són correctes., c) Ambdues respostes són correctes., Resposta: Mantenint el dispositiu actualitzat i comptant amb eines de protecció; com ara l'antivirus; ens assegurem que el nostre dispositiu està més protegit de possibles amenaces.\n
43) De què et protegeix una web que fa servir protocol HTTPS?, a) Del robatori de dades i de la suplantació d’identitat., b) D'un intent de phishing., c) De riscos d’explotació de vulnerabilitats, a) Del robatori de dades i de la suplantació d’identitat., Resposta: El protocol HTTPS permet una connexió segura mitjançant un xifratge SSL que possibilita que les dades viatgin de manera segura entre el vostre equip i el servidor de la pàgina web.\n
44) En entrar a la configuració del router; has vist diversos dispositius desconeguts connectats a la teva xarxa WiFi. Què has de fer?, a) He de bloquejar-los i fer un filtre d'adreces MAC., b) He de canviar la contrasenya d'accés a l'encaminador així com de connexió a la xarxa WiFi., c) Ambdues respostes són correctes., c) Ambdues respostes són correctes., Resposta: Una configuració segura del nostre router passa per canviar la contrasenya d'accés; la de la xarxa WiFi i; si en cas de detectar dispositius desconeguts; hem de bloquejar-los i realitzar un filtratge d'adreces MAC.\n
45) Et pot infectar un document; una imatge o un vídeo rebut a través d'un correu electrònic o descarregat d'una web?, a) Una imatge no conté codi maliciós (malware)., b) Els vídeos i imatges no poden contenir codi maliciós (malware)., c) Qualsevol fitxer pot contenir programari maliciós., c) Qualsevol fitxer pot contenir programari maliciós., Resposta: Qualsevol fitxer descarregat d'Internet pot contenir codi maliciós (malware). Fins i tot les pàgines web poden infectar-nos només visitant-les. Per això és fonamental comptar amb un bon antivirus i mantenir actualitzat el dispositiu.\n
46) Necessites fer una cerca per Internet a través de l’equip duna altra persona. Quina de les opcions següents seria la manera més segura de no deixar rastre?, a) Utilitzant el mode incògnit., b) Esborrant les galetes., c) Utilitzant el navegador de Mozilla Firefox., a) Utilitzant el mode incògnit., Resposta: Si no hi ha més remei i hem d'utilitzar un altre equip; una bona opció serà fer servir el mode incògnit del navegador; evitant introduir informació personal a pàgines web.\n
47) Reps un correu electrònic del teu banc demanant-te que accedeixis a un enllaç per confirmar les teves dades personals. Què fas?, a) Responc al correu perquè em facilitin més informació., b) Ho obr i segueix les indicacions del missatge; sembla un tema important., c) Els bancs mai demanen aquestes dades per correu; ho elimin., c) Els bancs mai demanen aquestes dades per correu; ho elimin., Resposta: Cal tenir precaució amb els missatges que sol·liciten informació personal sota alguna circumstància. Una entitat financera o servei web amb certa reputació no ens demanarà mai les nostres dades personals per correu.\n
48) A l'hora de navegar per pàgines web; l'opció més segura és:, a) Webs amb HTTP., b) Webs amb HTTP i certificat digital., c) Webs amb HTTPS i certificat digital., c) Webs amb HTTPS i certificat digital., Resposta: El certificat digital i el protocol HTTPS actuen com a segells de confiança que ens asseguren que les comunicacions que fem dins del web estaran xifrades i seran segures.\n
49) Un bon hàbit quan naveguem en línia és:, a) Desar les credencials al nostre navegador per no haver d'introduir-les manualment amb freqüència., b) Eliminar les galetes; la memòria cau i l'historial del navegador cada cert temps., c) Connectar-se a xarxes WiFi públiques., b) Eliminar les galetes; la memòria cau i l'historial del navegador cada cert temps., Resposta: D'aquesta manera; eliminarem el rastre que anem deixant quan naveguem per Internet; protegint millor la nostra privadesa i seguretat online.\n
50) Per a una navegació segura; el protocol de seguretat que has de tenir configurat al teu router és:, a) Protocol WPA2., b) Protocol WEP., c) Protocol HTTPS., a) Protocol WPA2., Resposta: Avui dia; el protocol WPA2 es considera el protocol més segur. La resta presenten vulnerabilitats que poden ser aprofitades pels ciberdelinqüents.\n
