31) De les opcions següents; quines són mesures antimalware amb què protegir el nostre dispositiu?, a) Contrasenyes segures., b) Antivirus i Tallafocs., c) Phishing., b) Antivirus i Tallafocs., Resposta: Dins de les mesures de protecció; l'antivirus i el tallafoc (firewall) es troben entre les més bàsiques. La seva funció és protegir-nos davant de diferents tipus d'atacs a la seguretat del nostre equip.\n
32) Vull desfer-me del meu dispositiu mòbil; però em preocupa la informació emmagatzemada. Què seria el més adequat?, a) Crear una còpia de seguretat de la informació; eliminar les dades i els comptes manualment i restablir el dispositiu a l'estat de fàbrica., b) Tornar el dispositiu a l'estat de fàbrica; així queda com a nou., c) Treure la targeta d’emmagatzematge és suficient; és on es troba tota la informació rellevant del telèfon., a) Crear una còpia de seguretat de la informació; eliminar les dades i els comptes manualment i restablir el dispositiu a l'estat de fàbrica., Resposta: La millor manera d'eliminar tota la informació del nostre dispositiu de forma segura és eliminar les dades i els comptes manualment i restablir-lo després a l'estat de fàbrica. Si creem abans una còpia de seguretat; podrem bolcar les dades a un dispositiu nou.\n
33) El vostre dispositiu ha començat a llançar alertes sobre diferents actualitzacions pendents d'instal·lar. Què has de fer?, a) No faig cas del missatge; no vull noves funcionalitats ja que consumeixen més recursos., b) Deix l’actualització per a un altre dia que tingui més temps., c) Aplic l'actualització com més aviat millor., c) Aplic l'actualització com més aviat millor., Resposta: Una actualització ens protegeix de possibles escletxes de seguretat; per la qual cosa; és fonamental que les instal·lem com més aviat millor.\n
34) Quan es parla de rootejar o fer jailbreacking a un dispositiu; es refereix a:, a) Hackejar un dispositiu per tenir accés a totes les vostres dades., b) Alliberar el dispositiu per adquirir permisos d'administrador., c) Tornar el dispositiu al seu estat de fàbrica., b) Alliberar el dispositiu per adquirir permisos d'administrador., Resposta: Aquests procediments permeten alliberar el dispositiu de les restriccions del fabricant i adquirir permisos d’administració. No obstant això; no estan exempts de riscos; com la pèrdua de garantia o més probabilitat d'infecció per codi maliciós (malware).\n
35) Què fas si comences a visualitzar anuncis al dispositiu; el ratolí es mou tot sol o va molt més lent?, a) Reinici l'ordinador i connect un USB per passar els meus fitxers a un altre equip., b) Reinici l'ordinador a veure si se soluciona tot sol., c) M'assegur que l'antivirus està actualitzat i hi realitz una anàlisi., c) M'assegur que l'antivirus està actualitzat i hi realitz una anàlisi., Resposta: Davant dels símptomes descrits; és probable que el nostre dispositiu estigui infectat. El millor és utilitzar un antivirus actualitzat per eliminar el codi maliciós que s'hagi pogut instal·lar.\n
36) Un codi maliciós capaç de xifrar tots els teus fitxers per després demanar-te doblers a canvi es coneix com:, a) Ransomware., b) Keylogger., c) Troià., a) Ransomware., Resposta: El ransomware és un tipus de codi maliciós que té com a objectiu xifrar tot el contingut dels nostres dispositius per demanar un rescat (doblers) a canvi de la clau de desxifrat.\n
37) T'has instal·lat una app amb funcionalitat de llanterna des de la botiga oficial i et demana els permisos següents: càmera; arxius multimèdia; contactes; SMS. Quins has d'acceptar?, a) Tots; ja que s'ha descarregat d'una botiga oficial., b) Càmera; arxius multimèdia i contactes., c) Càmera., c) Càmera., Resposta: Hem d'acceptar només els permisos imprescindibles per a la funció de l'app. A l'exemple; només cal el permís de càmera per al seu funcionament.\n
38) Una forma segura de protegir el teu dispositiu i la informació emmagatzemada és:, a) Canviar el PIN sovint., b) Xifrar-lo i protegir-lo amb una clau o PIN., c) No utilitzeu la connexió Bluetooth., b) Xifrar-lo i protegir-lo amb una clau o PIN., Resposta: En xifrar el nostre dispositiu; tota la informació continguda en ell també es xifrarà; protegint-la de tercers; especialment en cas de pèrdua o robatori.\n
39) Quina de les següents recomanacions hauries de dur a terme si et trobessis en un lloc que proporciona una xarxa WiFi pública?, a) Connecteu-vos; així s'estalvien dades mòbils., b) Revisar les xarxes WiFi disponibles i connectar-te només a la que tingui millor senyal., c) Desactivar l'opció que permet connectar-se automàticament al dispositiu., c) Desactivar l'opció que permet connectar-se automàticament al dispositiu., Resposta: Convé desactivar l'opció que permet connectar-nos automàticament a xarxes sense fil per minimitzar els riscos de connectar-se a xarxes WiFi.\n
40) Quan es tracta de fer còpies de seguretat; l'ideal és seguir la regla 3-2-1; però què vol dir?, a) 3 còpies en 2 suports diferents i 1 en un lloc físic diferent., b) 3 còpies de seguretat en 2 carpetes diferents i 1 xifrada., c) 3 còpies de seguretat en 2 suports diferents i 1 al núvol., a) 3 còpies en 2 suports diferents i 1 en un lloc físic diferent., Resposta: La regla 3-2-1 es refereix a mantenir 3 còpies de seguretat; en 2 suports diferents; com ara el núvol i un disc dur extern; i 1 de les còpies en un lloc físic diferent.\n
